ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXXRP15M-26SEP070430-30,yes,88.0000,589,71,75,75,KXXRP15M,2218,88.0000,56
KXDOGE15M-26SEP070430-30,yes,88.0000,538,78,70,64,KXDOGE15M,5787,70.0000,56
KXSOL15M-26SEP070430-30,yes,91.2000,185,58,65,66,KXSOL15M,516,90.8000,56
KXBNB15M-26SEP070415-15,yes,91.5000,473,88,73,85,KXBNB15M,315,91.0000,56
KXBTC15M-26SEP070415-15,yes,89.0000,404,83,80,67,KXBTC15M,16498,90.0000,56
KXXRP15M-26SEP070415-15,yes,88.0000,404,78,77,67,KXXRP15M,2767,88.0000,56
KXDOGE15M-26SEP070415-15,yes,96.5000,297,81,79,74,KXDOGE15M,0,96.8000,56
KXETH15M-26SEP070415-15,yes,88.0000,279,86,70,72,KXETH15M,3510,86.0000,56
KXSOL15M-26SEP070415-15,yes,92.9000,279,92,73,65,KXSOL15M,0,94.6000,56
KXBTC15M-26SEP070400-00,yes,88.0000,489,74,84,76,KXBTC15M,40001,87.0000,56
KXBNB15M-26SEP070400-00,yes,94.0000,385,93,77,64,KXBNB15M,190,90.3000,56
KXDOGE15M-26SEP070400-00,yes,93.2000,385,90,84,73,KXDOGE15M,1830,87.0000,56
KXETH15M-26SEP070400-00,yes,90.0000,236,62,76,86,KXETH15M,5340,85.0000,56
KXSOL15M-26SEP070345-45,no,89.0000,552,79,86,40,KXSOL15M,538,90.0000,56
KXETH15M-26SEP070345-45,no,88.0000,534,69,69,32,KXETH15M,2867,89.0000,56
KXDOGE15M-26SEP070345-45,no,89.0000,516,87,64,65,KXDOGE15M,1942,89.0000,56
KXXRP15M-26SEP070345-45,no,94.4000,516,92,73,82,KXXRP15M,171,92.5000,56
KXBNB15M-26SEP070345-45,no,89.0000,443,82,80,61,KXBNB15M,690,90.0000,56
KXBTC15M-26SEP070345-45,no,89.0000,403,82,85,70,KXBTC15M,15335,90.0000,56
KXSOL15M-26SEP070330-30,no,91.4000,490,85,85,67,KXSOL15M,51,91.3000,56
KXXRP15M-26SEP070330-30,no,95.1000,454,92,80,76,KXXRP15M,0,94.1000,56
KXETH15M-26SEP070330-30,no,90.7000,437,84,66,66,KXETH15M,0,95.0000,56
KXDOGE15M-26SEP070330-30,no,88.0000,419,55,42,48,KXDOGE15M,1908,89.0000,56
KXBNB15M-26SEP070330-30,no,94.0000,419,74,65,65,KXBNB15M,169,90.4000,56
KXBTC15M-26SEP070330-30,no,93.3000,329,92,79,69,KXBTC15M,0,95.6000,56
KXBNB15M-26SEP070315-15,no,88.0000,517,78,85,56,KXBNB15M,0,94.4000,56
KXSOL15M-26SEP070315-15,yes,91.9000,345,75,63,58,KXSOL15M,219,93.0000,56
KXXRP15M-26SEP070315-15,yes,93.9000,274,92,78,66,KXXRP15M,0,94.8000,56
KXETH15M-26SEP070315-15,yes,91.7000,221,83,67,58,KXETH15M,182,92.3000,56
KXDOGE15M-26SEP070315-15,yes,90.0000,183,80,86,79,KXDOGE15M,363,90.2000,56
KXXRP15M-26SEP070300-00,yes,89.0000,511,85,80,77,KXXRP15M,3651,85.0000,56
KXSOL15M-26SEP070300-00,yes,90.0000,304,91,82,77,KXSOL15M,921,90.0000,56
KXBNB15M-26SEP070245-45,no,94.4000,431,67,63,50,KXBNB15M,0,94.4000,56
KXDOGE15M-26SEP070245-45,no,90.0000,431,59,70,70,KXDOGE15M,156,91.0000,56
KXETH15M-26SEP070245-45,no,89.0000,345,84,63,67,KXETH15M,3694,88.0000,56
KXSOL15M-26SEP070245-45,no,89.0000,327,90,82,47,KXSOL15M,847,90.8000,56
KXXRP15M-26SEP070245-45,no,88.0000,309,84,79,19,KXXRP15M,3441,87.0000,56
KXSOL15M-26SEP070230-30,no,89.0000,584,84,75,66,KXSOL15M,9,92.3000,56
KXETH15M-26SEP070230-30,no,91.3000,584,88,77,68,KXETH15M,0,94.4000,56
KXDOGE15M-26SEP070230-30,no,91.3000,584,86,79,65,KXDOGE15M,0,94.9000,56
KXBNB15M-26SEP070230-30,no,92.0000,584,83,72,67,KXBNB15M,0,94.4000,56
KXXRP15M-26SEP070230-30,no,92.2000,565,88,81,73,KXXRP15M,0,93.0000,56
KXBTC15M-26SEP070230-30,no,90.0000,547,83,74,67,KXBTC15M,4846,90.6000,56
KXXRP15M-26SEP070215-15,yes,91.1000,349,81,75,80,KXXRP15M,0,93.1000,56
KXDOGE15M-26SEP070215-15,yes,97.0000,296,81,67,70,KXDOGE15M,96,91.6000,56
KXETH15M-26SEP070215-15,yes,92.2000,260,91,54,51,KXETH15M,24,92.8000,56
KXSOL15M-26SEP070215-15,yes,89.0000,185,86,79,51,KXSOL15M,0,94.9000,56
KXETH15M-26SEP070200-00,no,90.0000,552,70,55,57,KXETH15M,2252,90.0000,56
KXXRP15M-26SEP070200-00,no,90.0000,552,65,53,55,KXXRP15M,2378,90.0000,56
KXSOL15M-26SEP070200-00,no,91.8000,552,72,57,61,KXSOL15M,427,90.2000,56
KXDOGE15M-26SEP070200-00,no,88.0000,517,86,63,49,KXDOGE15M,2071,87.0000,56
KXBNB15M-26SEP070200-00,no,90.8000,482,81,43,34,KXBNB15M,2455,86.0000,56
KXBTC15M-26SEP070200-00,no,92.9000,267,92,80,62,KXBTC15M,0,94.1000,56
KXBNB15M-26SEP070145-45,yes,88.0000,504,73,52,57,KXBNB15M,199,90.0000,56
KXSOL15M-26SEP070145-45,no,93.4000,262,86,80,67,KXSOL15M,0,93.9000,56
KXXRP15M-26SEP070130-30,yes,89.0000,598,89,84,72,KXXRP15M,1627,90.1000,56
KXDOGE15M-26SEP070130-30,yes,92.4000,598,90,88,72,KXDOGE15M,31,92.0000,56
KXSOL15M-26SEP070130-30,yes,88.0000,578,87,83,86,KXSOL15M,6436,79.0000,56
KXBNB15M-26SEP070130-30,yes,88.0000,538,85,85,83,KXBNB15M,2601,85.0000,56
KXETH15M-26SEP070130-30,yes,90.0000,461,84,86,86,KXETH15M,0,93.7000,56
KXBTC15M-26SEP070130-30,yes,88.0000,387,83,69,67,KXBTC15M,28915,89.0000,56
KXDOGE15M-26SEP070115-15,yes,88.0000,586,74,66,64,KXDOGE15M,1166,90.0000,56
KXSOL15M-26SEP070115-15,yes,92.0000,550,85,65,54,KXSOL15M,0,93.2000,56
KXETH15M-26SEP070115-15,yes,90.0000,532,89,72,62,KXETH15M,56,92.9000,56
