ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXXRP15M-26SEP120400-00,yes,91.5000,366,70,68,63,KXXRP15M,1,93.0000,72
KXDOGE15M-26SEP120400-00,yes,96.0000,313,88,75,66,KXDOGE15M,0,95.9000,72
KXBTC15M-26SEP120345-45,no,90.2000,384,81,71,70,KXBTC15M,3396,91.5000,72
KXSOL15M-26SEP120345-45,no,89.0000,313,85,75,63,KXSOL15M,231,91.7000,72
KXDOGE15M-26SEP120345-45,yes,88.0000,258,59,50,45,KXDOGE15M,3999,80.0000,72
KXETH15M-26SEP120345-45,no,94.4000,239,87,74,66,KXETH15M,0,93.4000,72
KXXRP15M-26SEP120330-30,yes,89.0000,515,89,78,72,KXXRP15M,2095,89.0000,72
KXBNB15M-26SEP120330-30,yes,89.0000,481,77,74,83,KXBNB15M,4436,76.0000,72
KXDOGE15M-26SEP120330-30,yes,90.4000,271,87,84,79,KXDOGE15M,203,91.1000,72
KXBTC15M-26SEP120330-30,no,88.0000,218,79,71,71,KXBTC15M,0,94.4000,72
KXETH15M-26SEP120315-15,yes,88.0000,568,86,82,81,KXETH15M,735,90.5000,72
KXBTC15M-26SEP120315-15,yes,89.0000,394,88,84,80,KXBTC15M,19213,90.0000,72
KXXRP15M-26SEP120315-15,yes,90.0000,356,80,74,75,KXXRP15M,0,96.4000,72
KXBNB15M-26SEP120315-15,yes,91.9000,322,92,79,71,KXBNB15M,1639,89.0000,72
KXDOGE15M-26SEP120315-15,yes,95.8000,322,93,82,78,KXDOGE15M,0,96.0000,72
KXSOL15M-26SEP120315-15,yes,91.7000,235,88,84,63,KXSOL15M,636,91.2000,72
KXETH15M-26SEP120300-00,yes,90.9000,494,86,85,81,KXETH15M,389,92.1000,72
KXDOGE15M-26SEP120300-00,no,89.0000,459,88,84,75,KXDOGE15M,1822,89.0000,72
KXXRP15M-26SEP120300-00,no,88.0000,459,87,84,67,KXXRP15M,2616,89.0000,72
KXBNB15M-26SEP120300-00,no,90.6000,248,85,78,77,KXBNB15M,54,90.8000,72
KXSOL15M-26SEP120300-00,no,91.4000,213,90,63,67,KXSOL15M,2628,88.0000,72
KXBTC15M-26SEP120300-00,no,91.2000,178,82,59,65,KXBTC15M,849,91.9000,72
KXDOGE15M-26SEP120245-45,yes,90.0000,590,85,83,77,KXDOGE15M,6626,62.0000,72
KXETH15M-26SEP120245-45,yes,90.0000,421,85,74,70,KXETH15M,2998,89.0000,72
KXBTC15M-26SEP120245-45,yes,89.0000,348,85,81,76,KXBTC15M,5011,91.0000,72
KXXRP15M-26SEP120245-45,yes,92.5000,293,81,81,75,KXXRP15M,294,91.0000,72
KXSOL15M-26SEP120230-30,yes,90.0000,471,83,81,87,KXSOL15M,660,90.2000,72
KXXRP15M-26SEP120230-30,yes,91.8000,411,88,84,81,KXXRP15M,156,91.7000,72
