ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXDOGE15M-26SEP060400-00,yes,89.0000,238,70,60,65,KXDOGE15M,207,91.8000,56
KXSOL15M-26SEP060400-00,yes,93.0000,185,88,41,29,KXSOL15M,0,95.9000,56
KXBNB15M-26SEP060400-00,yes,89.0000,167,82,79,67,KXBNB15M,0,94.6000,56
KXSOL15M-26SEP060345-45,no,89.0000,482,80,73,61,KXSOL15M,805,90.0000,56
KXETH15M-26SEP060345-45,no,88.0000,357,87,85,75,KXETH15M,2856,87.0000,56
KXDOGE15M-26SEP060330-30,yes,94.0000,590,94,92,90,KXDOGE15M,0,95.4000,56
KXBTC15M-26SEP060330-30,yes,90.0000,590,89,90,89,KXBTC15M,4413,92.3000,56
KXETH15M-26SEP060330-30,yes,95.1000,590,92,91,87,KXETH15M,0,95.9000,56
KXSOL15M-26SEP060330-30,yes,91.2000,590,95,92,91,KXSOL15M,0,94.0000,56
KXXRP15M-26SEP060330-30,yes,91.6000,590,92,91,90,KXXRP15M,18,91.7000,56
KXBNB15M-26SEP060330-30,yes,92.0000,345,73,53,54,KXBNB15M,4579,73.0000,56
KXBNB15M-26SEP060315-15,no,89.0000,295,46,27,23,KXBNB15M,3290,86.0000,56
KXXRP15M-26SEP060315-15,no,90.0000,277,89,70,17,KXXRP15M,5900,72.0000,56
KXSOL15M-26SEP060315-15,no,90.0000,185,87,77,70,KXSOL15M,0,94.7000,56
KXETH15M-26SEP060315-15,no,94.6000,185,89,82,63,KXETH15M,0,97.0000,56
KXDOGE15M-26SEP060315-15,no,88.0000,167,63,88,64,KXDOGE15M,0,94.9000,56
KXDOGE15M-26SEP060300-00,no,95.4000,425,89,85,88,KXDOGE15M,0,95.5000,56
KXBTC15M-26SEP060300-00,no,88.0000,220,90,61,72,KXBTC15M,3648,91.1000,56
KXBNB15M-26SEP060300-00,no,95.0000,186,62,41,71,KXBNB15M,0,94.8000,56
KXSOL15M-26SEP060300-00,no,91.9000,168,75,31,48,KXSOL15M,0,97.6000,56
KXETH15M-26SEP060300-00,no,90.6000,168,83,48,72,KXETH15M,0,95.0000,56
KXSOL15M-26SEP060245-45,no,92.3000,484,87,88,63,KXSOL15M,4,92.5000,56
KXDOGE15M-26SEP060245-45,yes,93.0000,310,79,66,61,KXDOGE15M,621,92.9000,56
KXBTC15M-26SEP060245-45,no,92.2000,154,88,66,60,KXBTC15M,1458,92.3000,56
KXBNB15M-26SEP060230-30,no,88.0000,592,92,73,70,KXBNB15M,3718,82.0000,56
KXDOGE15M-26SEP060230-30,no,89.0000,503,89,74,83,KXDOGE15M,0,93.4000,56
KXSOL15M-26SEP060230-30,no,92.0000,486,82,80,81,KXSOL15M,4,92.9000,56
KXXRP15M-26SEP060230-30,no,89.0000,486,85,80,81,KXXRP15M,207,90.2000,56
KXETH15M-26SEP060230-30,no,92.2000,324,84,84,79,KXETH15M,10,92.7000,56
KXBTC15M-26SEP060230-30,no,94.3000,290,79,85,79,KXBTC15M,0,95.4000,56
KXDOGE15M-26SEP060215-15,yes,88.0000,339,83,76,81,KXDOGE15M,2468,85.0000,56
KXSOL15M-26SEP060215-15,no,89.0000,304,81,87,82,KXSOL15M,600,91.0000,56
KXETH15M-26SEP060215-15,no,95.0000,265,88,83,78,KXETH15M,0,94.0000,56
KXBNB15M-26SEP060215-15,yes,93.8000,265,92,78,68,KXBNB15M,0,94.7000,56
KXBNB15M-26SEP060200-00,no,88.0000,536,84,83,79,KXBNB15M,2760,89.0000,56
KXDOGE15M-26SEP060200-00,yes,88.0000,296,83,80,81,KXDOGE15M,4037,84.0000,56
KXSOL15M-26SEP060200-00,yes,89.0000,244,75,83,87,KXSOL15M,5461,82.0000,56
KXBTC15M-26SEP060200-00,no,90.6000,244,87,78,72,KXBTC15M,6841,89.0000,56
KXETH15M-26SEP060200-00,no,92.5000,206,56,70,58,KXETH15M,0,94.8000,56
