ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXDOGE15M-26SEP010445-45,yes,89.0000,527,88,64,44,KXDOGE15M,330,90.0000,56
KXXRP15M-26SEP010445-45,yes,88.0000,490,84,76,53,KXXRP15M,347,90.0000,56
KXETH15M-26SEP010445-45,yes,90.0000,468,80,73,47,KXETH15M,16,92.7000,56
KXBNB15M-26SEP010445-45,yes,89.0000,468,79,75,49,KXBNB15M,272,92.1000,56
KXSOL15M-26SEP010445-45,yes,88.0000,468,78,68,55,KXSOL15M,204,90.2000,56
KXSOL15M-26SEP010445-45,no,93.1000,174,51,29,27,KXSOL15M,0,93.2000,56
KXBNB15M-26SEP010445-45,no,89.0000,156,87,30,15,KXBNB15M,0,93.8000,56
KXBNB15M-26SEP010430-30,no,88.0000,372,82,77,43,KXBNB15M,980,89.0000,56
KXBTC15M-26SEP010430-30,no,90.4000,337,86,80,73,KXBTC15M,12220,91.4000,56
KXETH15M-26SEP010430-30,no,92.1000,319,89,75,73,KXETH15M,1024,90.1000,56
KXXRP15M-26SEP010430-30,no,89.0000,319,87,71,63,KXXRP15M,442,91.0000,56
KXDOGE15M-26SEP010430-30,no,92.0000,281,86,71,74,KXDOGE15M,0,93.9000,56
KXSOL15M-26SEP010430-30,no,91.7000,245,80,51,31,KXSOL15M,0,96.3000,56
KXXRP15M-26SEP010415-15,no,90.8000,591,86,73,63,KXXRP15M,1081,89.0000,56
KXETH15M-26SEP010415-15,no,96.1000,489,80,60,70,KXETH15M,0,94.6000,56
KXDOGE15M-26SEP010415-15,no,94.1000,489,85,72,76,KXDOGE15M,0,94.9000,56
KXBTC15M-26SEP010415-15,no,91.9000,489,89,71,74,KXBTC15M,0,93.1000,56
KXBNB15M-26SEP010415-15,no,94.7000,489,79,51,70,KXBNB15M,0,93.4000,56
KXSOL15M-26SEP010415-15,no,91.2000,471,76,52,62,KXSOL15M,11,92.2000,56
KXBNB15M-26SEP010400-00,yes,90.9000,577,88,80,72,KXBNB15M,316,90.9000,56
KXDOGE15M-26SEP010400-00,yes,89.0000,559,76,67,54,KXDOGE15M,311,91.8000,56
KXXRP15M-26SEP010400-00,yes,88.0000,503,84,80,64,KXXRP15M,3503,88.0000,56
KXETH15M-26SEP010400-00,yes,89.0000,430,85,84,78,KXETH15M,9608,75.0000,56
KXSOL15M-26SEP010400-00,yes,93.6000,260,76,76,67,KXSOL15M,0,93.7000,56
KXBTC15M-26SEP010400-00,yes,89.0000,260,74,74,61,KXBTC15M,24325,89.0000,56
KXBNB15M-26SEP010345-45,yes,88.0000,600,85,77,68,KXBNB15M,1262,86.0000,56
KXDOGE15M-26SEP010345-45,no,88.0000,549,83,81,69,KXDOGE15M,83,91.3000,56
KXXRP15M-26SEP010345-45,no,89.0000,531,74,71,65,KXXRP15M,1065,89.0000,56
KXSOL15M-26SEP010345-45,no,90.6000,459,87,60,59,KXSOL15M,159,91.0000,56
KXBTC15M-26SEP010345-45,no,90.9000,441,78,29,33,KXBTC15M,7560,92.4000,56
KXETH15M-26SEP010345-45,no,96.0000,424,79,37,31,KXETH15M,0,96.4000,56
KXBNB15M-26SEP010345-45,no,88.0000,285,56,69,29,KXBNB15M,4064,67.0000,56
KXDOGE15M-26SEP010330-30,yes,94.9000,454,90,83,85,KXDOGE15M,0,94.9000,56
KXETH15M-26SEP010330-30,yes,89.0000,436,80,71,75,KXETH15M,3011,86.0000,56
KXSOL15M-26SEP010330-30,yes,90.5000,359,68,56,59,KXSOL15M,16,90.9000,56
KXBTC15M-26SEP010330-30,yes,90.0000,340,90,80,77,KXBTC15M,18533,90.0000,56
KXXRP15M-26SEP010330-30,yes,90.0000,202,82,84,85,KXXRP15M,211,90.0000,56
KXDOGE15M-26SEP010315-15,yes,93.8000,405,71,77,83,KXDOGE15M,0,94.1000,56
KXETH15M-26SEP010315-15,yes,88.0000,370,82,53,71,KXETH15M,487,90.0000,56
KXSOL15M-26SEP010315-15,yes,90.0000,316,87,75,59,KXSOL15M,167,90.0000,56
KXXRP15M-26SEP010315-15,yes,88.0000,316,85,76,50,KXXRP15M,1522,87.0000,56
KXBNB15M-26SEP010315-15,no,89.0000,188,81,68,52,KXBNB15M,722,89.0000,56
KXBNB15M-26SEP010300-00,no,90.9000,449,90,63,63,KXBNB15M,4,92.2000,56
KXDOGE15M-26SEP010300-00,no,90.0000,449,87,73,78,KXDOGE15M,79,91.7000,56
KXSOL15M-26SEP010300-00,no,90.2000,449,90,74,75,KXSOL15M,166,92.2000,56
KXXRP15M-26SEP010300-00,no,90.8000,319,88,83,82,KXXRP15M,16,92.8000,56
KXBTC15M-26SEP010300-00,no,90.0000,319,81,79,86,KXBTC15M,11745,90.1000,56
KXETH15M-26SEP010300-00,no,95.1000,319,86,83,84,KXETH15M,10,92.8000,56
KXETH15M-26SEP010230-30,no,89.0000,587,86,73,75,KXETH15M,622,90.0000,56
KXBNB15M-26SEP010230-30,no,91.5000,587,89,79,73,KXBNB15M,34,92.1000,56
KXBTC15M-26SEP010230-30,no,88.0000,568,87,85,72,KXBTC15M,28415,87.0000,56
KXXRP15M-26SEP010230-30,no,88.0000,550,85,83,56,KXXRP15M,9,91.1000,56
KXDOGE15M-26SEP010230-30,no,89.0000,531,83,73,38,KXDOGE15M,188,90.0000,56
KXSOL15M-26SEP010230-30,no,90.0000,467,87,88,81,KXSOL15M,0,93.1000,56
KXBTC15M-26SEP010215-15,no,88.0000,548,78,81,78,KXBTC15M,25372,88.0000,56
KXBNB15M-26SEP010215-15,no,92.9000,548,82,85,77,KXBNB15M,189,90.0000,56
KXDOGE15M-26SEP010215-15,no,90.0000,530,74,82,76,KXDOGE15M,636,90.0000,56
KXXRP15M-26SEP010215-15,no,90.0000,530,68,73,70,KXXRP15M,482,90.5000,56
KXSOL15M-26SEP010215-15,no,88.0000,452,86,79,53,KXSOL15M,51,91.0000,56
KXETH15M-26SEP010215-15,no,90.0000,433,83,75,62,KXETH15M,1,93.0000,56
KXSOL15M-26SEP010145-45,yes,98.7000,151,97,63,88,KXSOL15M,0,98.5000,56
KXBNB15M-26SEP010145-45,yes,96.1000,151,96,85,91,KXBNB15M,0,99.1000,56
KXBTC15M-26SEP010145-45,yes,96.1000,151,97,85,92,KXBTC15M,0,99.3000,56
KXXRP15M-26SEP010200-00,yes,88.0000,411,70,80,87,KXXRP15M,0,93.2000,56
KXDOGE15M-26SEP010200-00,yes,91.6000,358,84,64,73,KXDOGE15M,2954,79.0000,56
KXETH15M-26SEP010200-00,yes,89.0000,283,67,84,61,KXETH15M,5398,88.0000,56
KXSOL15M-26SEP010200-00,yes,88.0000,211,92,79,53,KXSOL15M,49,91.5000,56
KXSOL15M-26SEP010130-30,yes,95.7000,151,60,22,27,KXSOL15M,0,94.5000,56
KXDOGE15M-26SEP010145-45,yes,91.5000,598,88,84,70,KXDOGE15M,15,92.9000,56
KXXRP15M-26SEP010145-45,yes,88.0000,580,86,71,66,KXXRP15M,3165,89.0000,56
KXETH15M-26SEP010145-45,yes,89.0000,525,82,79,79,KXETH15M,1447,90.0000,56
KXBTC15M-26SEP010115-15,yes,97.9000,183,96,97,95,KXBTC15M,0,98.8000,56
KXXRP15M-26SEP010115-15,yes,98.8000,183,97,97,95,KXXRP15M,0,98.7000,56
KXBNB15M-26SEP010115-15,yes,94.8000,183,92,95,93,KXBNB15M,0,93.5000,56
KXBNB15M-26SEP010130-30,no,90.0000,485,85,74,57,KXBNB15M,49,90.0000,56
KXBTC15M-26SEP010130-30,no,89.0000,307,86,80,85,KXBTC15M,32082,85.0000,56
KXETH15M-26SEP010130-30,no,90.0000,288,83,74,74,KXETH15M,37,92.2000,56
KXDOGE15M-26SEP010130-30,no,89.0000,268,85,84,76,KXDOGE15M,813,89.0000,56
KXDOGE15M-26SEP010100-00,no,90.3000,207,86,84,73,KXDOGE15M,309,92.4000,56
KXSOL15M-26SEP010100-00,no,97.0000,207,97,92,86,KXSOL15M,0,97.5000,56
KXXRP15M-26SEP010100-00,no,93.5000,207,91,86,84,KXXRP15M,0,93.6000,56
KXETH15M-26SEP010100-00,no,88.0000,172,84,71,60,KXETH15M,1259,90.7000,56
KXSOL15M-26SEP010115-15,yes,92.9000,596,90,89,78,KXSOL15M,0,95.9000,56
KXETH15M-26SEP010115-15,yes,90.0000,596,87,85,69,KXETH15M,29,92.7000,56
