ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXDOGE15M-26AUG310600-00,no,90.0000,421,87,78,50,KXDOGE15M,160,90.6000,56
KXBTC15M-26AUG310600-00,no,90.0000,402,85,80,62,KXBTC15M,6633,92.9000,56
KXBNB15M-26AUG310600-00,no,90.5000,402,84,68,43,KXBNB15M,0,97.4000,56
KXXRP15M-26AUG310600-00,no,88.0000,402,75,61,39,KXXRP15M,449,87.0000,56
KXETH15M-26AUG310600-00,no,91.7000,232,73,73,69,KXETH15M,0,95.0000,56
KXSOL15M-26AUG310600-00,no,95.2000,213,85,67,74,KXSOL15M,0,93.8000,56
KXBNB15M-26AUG310545-45,no,89.0000,416,70,65,67,KXBNB15M,1107,87.0000,56
KXETH15M-26AUG310530-30,yes,89.0000,432,80,67,68,KXETH15M,4053,86.0000,56
KXDOGE15M-26AUG310530-30,yes,90.0000,432,83,76,74,KXDOGE15M,317,89.0000,56
KXXRP15M-26AUG310530-30,yes,88.0000,412,80,68,78,KXXRP15M,256,90.0000,56
KXBTC15M-26AUG310530-30,yes,89.0000,316,79,76,64,KXBTC15M,1826,92.7000,56
KXSOL15M-26AUG310530-30,yes,92.7000,316,87,80,75,KXSOL15M,0,96.3000,56
KXSOL15M-26AUG310515-15,no,88.0000,443,80,59,85,KXSOL15M,1010,90.0000,56
KXBTC15M-26AUG310515-15,yes,90.0000,358,62,52,64,KXBTC15M,0,93.7000,56
KXDOGE15M-26AUG310515-15,yes,92.0000,341,92,54,44,KXDOGE15M,64,92.0000,56
KXBNB15M-26AUG310515-15,yes,96.8000,340,97,81,66,KXBNB15M,0,97.5000,56
KXSOL15M-26AUG310515-15,yes,90.1000,340,88,20,21,KXSOL15M,1974,81.0000,56
KXXRP15M-26AUG310515-15,yes,94.6000,340,95,42,31,KXXRP15M,0,93.5000,56
KXETH15M-26AUG310515-15,yes,93.3000,288,94,39,31,KXETH15M,4077,87.0000,56
KXBTC15M-26AUG310500-00,yes,92.9000,356,87,78,72,KXBTC15M,40405,90.1000,56
KXDOGE15M-26AUG310500-00,yes,88.0000,356,74,51,51,KXDOGE15M,2215,82.0000,56
KXETH15M-26AUG310500-00,yes,90.8000,332,90,78,61,KXETH15M,0,94.1000,56
KXBNB15M-26AUG310445-45,yes,93.0000,292,86,86,85,KXBNB15M,0,96.6000,56
KXSOL15M-26AUG310445-45,yes,88.0000,292,65,72,80,KXSOL15M,4895,93.0000,56
KXBTC15M-26AUG310445-45,yes,91.8000,275,89,78,75,KXBTC15M,86975,89.0000,56
KXETH15M-26AUG310445-45,yes,88.0000,240,79,57,62,KXETH15M,2652,88.0000,56
KXDOGE15M-26AUG310445-45,yes,95.4000,203,84,82,44,KXDOGE15M,0,97.0000,56
KXXRP15M-26AUG310445-45,yes,98.8000,169,77,76,46,KXXRP15M,0,99.4000,56
KXXRP15M-26AUG310430-30,no,89.0000,596,76,74,64,KXXRP15M,23,91.0000,56
KXDOGE15M-26AUG310430-30,no,92.6000,578,91,79,83,KXDOGE15M,0,96.8000,56
KXETH15M-26AUG310430-30,no,88.0000,578,86,75,79,KXETH15M,683,92.0000,56
KXSOL15M-26AUG310430-30,no,88.0000,578,83,69,76,KXSOL15M,12,92.6000,56
KXBTC15M-26AUG310430-30,no,88.0000,558,80,71,76,KXBTC15M,53117,90.0000,56
KXBNB15M-26AUG310430-30,no,94.8000,558,89,78,76,KXBNB15M,0,96.1000,56
KXBNB15M-26AUG310415-15,no,90.0000,596,87,85,72,KXBNB15M,5,92.1000,56
KXDOGE15M-26AUG310415-15,no,89.0000,540,83,75,65,KXDOGE15M,118,89.0000,56
KXXRP15M-26AUG310415-15,no,88.0000,540,84,80,80,KXXRP15M,2331,90.0000,56
KXSOL15M-26AUG310415-15,no,94.7000,521,93,83,74,KXSOL15M,0,95.6000,56
KXBTC15M-26AUG310415-15,no,89.0000,496,87,82,69,KXBTC15M,11046,90.0000,56
KXETH15M-26AUG310415-15,no,90.0000,496,87,82,74,KXETH15M,2854,90.0000,56
KXBTC15M-26AUG310415-15,yes,88.0000,169,48,37,19,KXBTC15M,0,95.2000,56
KXETH15M-26AUG310415-15,yes,93.6000,169,46,30,19,KXETH15M,0,95.7000,56
KXBTC15M-26AUG310400-00,no,89.0000,350,82,76,80,KXBTC15M,39355,91.8000,56
KXETH15M-26AUG310400-00,no,90.9000,222,84,84,78,KXETH15M,3675,81.0000,56
KXDOGE15M-26AUG310345-45,no,90.1000,422,79,80,78,KXDOGE15M,2016,82.0000,56
KXSOL15M-26AUG310345-45,no,88.0000,369,80,73,76,KXSOL15M,15,91.0000,56
KXETH15M-26AUG310345-45,no,92.3000,210,91,62,76,KXETH15M,248,90.3000,56
KXXRP15M-26AUG310345-45,no,90.6000,174,88,61,86,KXXRP15M,0,94.4000,56
KXBNB15M-26AUG310330-30,yes,90.0000,549,84,84,84,KXBNB15M,1207,90.2000,56
KXETH15M-26AUG310330-30,yes,88.0000,362,81,74,79,KXETH15M,3879,88.0000,56
