ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXBTC15M-26AUG271030-30,yes,89.0000,596,85,73,61,KXBTC15M,14445,92.0000,39
KXETH15M-26AUG271030-30,yes,92.8000,596,90,76,59,KXETH15M,0,95.2000,39
KXSOL15M-26AUG271030-30,yes,90.2000,596,86,74,56,KXSOL15M,4373,88.0000,39
KXDOGE15M-26AUG271030-30,yes,92.5000,596,88,77,47,KXDOGE15M,0,93.6000,39
KXXRP15M-26AUG271030-30,yes,94.7000,554,83,71,63,KXXRP15M,284,91.7000,39
KXBNB15M-26AUG271030-30,yes,90.0000,533,87,81,74,KXBNB15M,0,96.4000,39
KXXRP15M-26AUG271015-15,yes,94.0000,562,87,80,63,KXXRP15M,0,93.4000,39
KXDOGE15M-26AUG271015-15,yes,91.6000,562,88,78,66,KXDOGE15M,95,92.6000,39
KXSOL15M-26AUG271015-15,no,90.8000,397,90,83,44,KXSOL15M,0,95.6000,39
KXBNB15M-26AUG271015-15,no,90.0000,361,72,59,20,KXBNB15M,217,90.0000,39
KXETH15M-26AUG271015-15,no,90.8000,215,91,77,74,KXETH15M,254,92.1000,39
KXETH15M-26AUG270945-45,no,91.6000,588,86,89,86,KXETH15M,0,93.6000,39
KXDOGE15M-26AUG270945-45,no,90.0000,588,83,89,87,KXDOGE15M,86,91.7000,39
KXBNB15M-26AUG270945-45,no,91.8000,588,89,90,89,KXBNB15M,69,92.4000,39
KXSOL15M-26AUG270945-45,no,88.0000,325,88,81,71,KXSOL15M,507,87.0000,39
KXXRP15M-26AUG270945-45,no,88.0000,325,86,82,79,KXXRP15M,685,86.0000,39
KXBTC15M-26AUG270945-45,no,94.4000,235,81,83,85,KXBTC15M,4536,91.6000,39
KXSOL15M-26AUG270930-30,yes,93.2000,467,78,70,65,KXSOL15M,0,93.2000,39
KXBNB15M-26AUG270930-30,yes,90.5000,431,87,82,55,KXBNB15M,366,89.0000,39
KXETH15M-26AUG270930-30,yes,90.7000,375,88,77,65,KXETH15M,1523,90.0000,39
KXXRP15M-26AUG270930-30,yes,89.0000,340,84,79,72,KXXRP15M,512,88.0000,39
KXDOGE15M-26AUG270930-30,yes,89.0000,285,85,81,74,KXDOGE15M,0,95.0000,39
KXBTC15M-26AUG270930-30,yes,89.0000,249,81,81,63,KXBTC15M,67596,88.0000,39
KXBNB15M-26AUG270915-15,yes,88.0000,511,86,81,76,KXBNB15M,467,86.0000,39
KXXRP15M-26AUG270915-15,yes,90.1000,409,82,83,74,KXXRP15M,669,90.0000,39
KXETH15M-26AUG270915-15,yes,89.0000,389,86,75,67,KXETH15M,1493,89.0000,39
KXDOGE15M-26AUG270915-15,yes,88.0000,389,88,79,74,KXDOGE15M,881,90.0000,39
KXBTC15M-26AUG270915-15,yes,92.0000,369,84,70,62,KXBTC15M,9017,92.0000,39
KXSOL15M-26AUG270915-15,yes,94.3000,349,83,65,62,KXSOL15M,318,90.0000,39
KXSOL15M-26AUG270900-00,yes,91.6000,546,87,79,68,KXSOL15M,249,90.2000,39
KXDOGE15M-26AUG270900-00,yes,88.0000,529,79,72,58,KXDOGE15M,5187,83.0000,39
KXBNB15M-26AUG270900-00,yes,90.8000,340,85,76,79,KXBNB15M,88,92.3000,39
KXETH15M-26AUG270845-45,no,88.0000,594,86,77,65,KXETH15M,1297,90.2000,39
KXBNB15M-26AUG270845-45,no,88.0000,594,69,57,60,KXBNB15M,38,90.0000,39
KXDOGE15M-26AUG270845-45,no,93.0000,558,81,70,55,KXDOGE15M,0,94.6000,39
KXBTC15M-26AUG270845-45,no,92.5000,558,86,84,74,KXBTC15M,0,93.9000,39
KXSOL15M-26AUG270845-45,no,89.0000,462,85,64,58,KXSOL15M,4100,91.1000,39
KXXRP15M-26AUG270845-45,no,91.2000,462,81,49,44,KXXRP15M,0,95.2000,39
KXSOL15M-26AUG270830-30,yes,96.8000,249,64,56,60,KXSOL15M,0,95.0000,39
KXXRP15M-26AUG270830-30,yes,90.0000,215,90,72,64,KXXRP15M,92,90.5000,39
KXETH15M-26AUG270830-30,yes,88.0000,181,74,49,44,KXETH15M,1468,87.0000,39
KXBTC15M-26AUG270830-30,yes,90.4000,163,80,68,53,KXBTC15M,34117,88.0000,39
KXSOL15M-26AUG270815-15,yes,93.0000,327,67,65,59,KXSOL15M,331,87.0000,39
KXXRP15M-26AUG270815-15,yes,93.1000,223,75,52,52,KXXRP15M,0,95.1000,39
KXETH15M-26AUG270815-15,yes,90.0000,205,77,55,31,KXETH15M,0,94.9000,39
KXDOGE15M-26AUG270815-15,yes,96.9000,205,90,71,57,KXDOGE15M,0,97.3000,39
KXBNB15M-26AUG270815-15,yes,91.7000,205,74,63,38,KXBNB15M,89,90.0000,39
KXBTC15M-26AUG270815-15,yes,89.0000,186,50,37,12,KXBTC15M,32113,88.0000,39
KXBNB15M-26AUG270800-00,no,91.9000,585,79,77,73,KXBNB15M,116,90.8000,39
KXDOGE15M-26AUG270800-00,no,89.0000,533,84,71,68,KXDOGE15M,0,95.6000,39
KXETH15M-26AUG270800-00,no,90.0000,533,85,75,71,KXETH15M,0,94.2000,39
KXSOL15M-26AUG270800-00,no,88.0000,497,86,76,52,KXSOL15M,4612,86.0000,39
KXSOL15M-26AUG270745-45,no,89.0000,465,84,60,41,KXSOL15M,4283,91.4000,39
KXBTC15M-26AUG270745-45,no,90.2000,268,92,85,80,KXBTC15M,25881,89.0000,39
KXBNB15M-26AUG270745-45,yes,90.7000,212,79,57,66,KXBNB15M,192,86.0000,39
KXXRP15M-26AUG270745-45,yes,89.0000,157,90,56,38,KXXRP15M,238,90.0000,39
KXSOL15M-26AUG270730-30,yes,89.0000,550,86,67,65,KXSOL15M,2,93.0000,39
KXXRP15M-26AUG270730-30,yes,91.0000,515,89,67,51,KXXRP15M,412,91.1000,39
KXDOGE15M-26AUG270730-30,no,94.6000,172,73,68,71,KXDOGE15M,0,98.8000,39
KXBTC15M-26AUG270730-30,no,97.8000,154,97,39,41,KXBTC15M,0,98.4000,39
KXDOGE15M-26AUG270715-15,yes,92.8000,587,88,68,68,KXDOGE15M,823,90.1000,39
KXXRP15M-26AUG270715-15,yes,88.0000,533,85,77,69,KXXRP15M,573,90.0000,39
KXSOL15M-26AUG270715-15,yes,90.9000,533,87,74,68,KXSOL15M,1,93.0000,39
KXBNB15M-26AUG270715-15,yes,88.0000,437,83,84,82,KXBNB15M,309,90.4000,39
KXETH15M-26AUG270715-15,yes,88.0000,401,80,82,82,KXETH15M,6052,86.0000,39
KXBTC15M-26AUG270715-15,yes,91.1000,295,81,85,76,KXBTC15M,56461,83.0000,39
KXBTC15M-26AUG270700-00,no,91.8000,156,90,76,65,KXBTC15M,97349,75.0000,39
KXXRP15M-26AUG270645-45,no,90.0000,469,79,73,66,KXXRP15M,0,94.8000,39
KXBTC15M-26AUG270645-45,no,90.2000,469,73,63,54,KXBTC15M,5937,90.3000,39
KXETH15M-26AUG270645-45,no,89.0000,469,75,64,44,KXETH15M,0,93.6000,39
KXDOGE15M-26AUG270645-45,no,89.0000,450,83,55,57,KXDOGE15M,849,90.1000,39
KXBNB15M-26AUG270645-45,no,93.7000,450,90,83,81,KXBNB15M,0,94.4000,39
KXSOL15M-26AUG270645-45,no,93.9000,431,86,68,57,KXSOL15M,349,86.0000,39
KXBNB15M-26AUG270630-30,no,90.0000,386,85,79,76,KXBNB15M,2,91.6000,39
