ticker,side,ask,secs,p1,p2,p3,series,depth,best,min_depth
KXXRP15M-26SEP030300-00,no,90.0000,312,90,76,50,KXXRP15M,925,86.0000,80
KXBNB15M-26SEP030300-00,yes,92.9000,277,87,82,67,KXBNB15M,3,92.3000,80
KXDOGE15M-26SEP030300-00,no,88.0000,190,77,83,76,KXDOGE15M,144,91.6000,80
KXSOL15M-26SEP030300-00,no,90.1000,172,68,87,82,KXSOL15M,847,89.0000,80
KXETH15M-26SEP030300-00,no,93.3000,153,87,70,87,KXETH15M,412,90.8000,80
KXDOGE15M-26SEP030245-45,yes,89.0000,218,90,83,86,KXDOGE15M,90,90.9000,80
KXBNB15M-26SEP030230-30,yes,93.9000,429,90,82,83,KXBNB15M,3,92.1000,80
KXSOL15M-26SEP030230-30,yes,88.0000,429,84,81,80,KXSOL15M,859,89.0000,80
KXETH15M-26SEP030230-30,yes,89.0000,429,86,80,85,KXETH15M,553,90.9000,80
KXXRP15M-26SEP030230-30,yes,91.3000,429,90,75,74,KXXRP15M,246,91.9000,80
KXBTC15M-26SEP030230-30,yes,89.0000,335,88,80,76,KXBTC15M,5013,90.1000,80
KXDOGE15M-26SEP030230-30,yes,90.0000,317,86,77,81,KXDOGE15M,2201,69.0000,80
KXDOGE15M-26SEP030215-15,no,91.9000,586,88,84,75,KXDOGE15M,4,92.7000,80
KXSOL15M-26SEP030215-15,no,91.5000,586,90,85,75,KXSOL15M,55,91.1000,80
KXXRP15M-26SEP030215-15,no,92.7000,586,90,83,74,KXXRP15M,0,93.3000,80
KXETH15M-26SEP030215-15,no,89.0000,454,82,86,83,KXETH15M,1121,89.0000,80
KXBTC15M-26SEP030215-15,no,88.0000,417,78,74,76,KXBTC15M,14091,86.0000,80
KXBNB15M-26SEP030215-15,no,90.0000,291,86,86,70,KXBNB15M,782,86.0000,80
KXDOGE15M-26SEP030200-00,yes,89.0000,538,75,65,55,KXDOGE15M,1008,89.0000,80
KXBTC15M-26SEP030200-00,yes,88.0000,504,75,59,63,KXBTC15M,14837,90.0000,80
KXBNB15M-26SEP030200-00,yes,95.2000,504,91,80,75,KXBNB15M,0,93.6000,80
KXETH15M-26SEP030200-00,yes,96.5000,504,83,72,64,KXETH15M,0,94.5000,80
KXSOL15M-26SEP030200-00,yes,90.0000,486,72,51,48,KXSOL15M,839,90.0000,80
KXXRP15M-26SEP030200-00,yes,90.8000,446,88,67,66,KXXRP15M,113,92.2000,80
KXETH15M-26SEP030145-45,yes,89.0000,588,85,81,69,KXETH15M,38,92.2000,80
KXSOL15M-26SEP030145-45,yes,94.8000,587,92,90,78,KXSOL15M,0,96.7000,80
KXBNB15M-26SEP030145-45,yes,93.6000,587,88,83,70,KXBNB15M,0,94.9000,80
KXDOGE15M-26SEP030145-45,yes,92.0000,587,87,85,69,KXDOGE15M,0,93.9000,80
KXXRP15M-26SEP030145-45,yes,93.5000,587,87,85,68,KXXRP15M,0,94.8000,80
KXBTC15M-26SEP030145-45,yes,90.0000,546,86,78,80,KXBTC15M,20967,90.0000,80
KXXRP15M-26SEP030130-30,no,88.0000,581,64,62,60,KXXRP15M,1626,85.0000,80
KXETH15M-26SEP030130-30,no,89.0000,580,88,80,76,KXETH15M,0,93.2000,80
KXBNB15M-26SEP030130-30,no,91.7000,562,69,63,72,KXBNB15M,0,93.1000,80
KXDOGE15M-26SEP030130-30,no,94.6000,544,81,74,70,KXDOGE15M,0,94.8000,80
KXBTC15M-26SEP030130-30,no,91.2000,544,84,77,78,KXBTC15M,0,93.3000,80
KXSOL15M-26SEP030130-30,no,89.0000,544,69,67,63,KXSOL15M,0,96.4000,80
KXXRP15M-26SEP030115-15,no,94.9000,331,69,80,73,KXXRP15M,0,94.0000,80
KXETH15M-26SEP030115-15,no,90.5000,314,71,77,72,KXETH15M,1175,92.0000,80
KXSOL15M-26SEP030115-15,no,91.5000,314,64,81,74,KXSOL15M,0,93.8000,80
KXBNB15M-26SEP030115-15,no,93.3000,314,74,81,74,KXBNB15M,0,94.9000,80
KXDOGE15M-26SEP030115-15,no,91.9000,295,49,61,57,KXDOGE15M,743,88.0000,80
KXBTC15M-26SEP030115-15,no,94.2000,168,78,83,51,KXBTC15M,0,96.6000,80
KXBNB15M-26SEP030100-00,yes,88.0000,594,83,80,83,KXBNB15M,0,93.5000,80
KXSOL15M-26SEP030100-00,yes,88.0000,576,87,85,82,KXSOL15M,758,90.6000,80
KXDOGE15M-26SEP030100-00,yes,88.0000,550,88,87,83,KXDOGE15M,928,89.0000,80
KXETH15M-26SEP030100-00,yes,88.0000,550,85,83,80,KXETH15M,2326,89.0000,80
